product_id,date,stock_received,damaged_stock
153019,Mar-2026,4,1
848226,Mar-2026,4,1
965755,Mar-2026,1,0
39154,Mar-2026,4,0
34186,Mar-2026,3,1
478531,Mar-2026,4,1
812607,Mar-2026,4,0
818990,Mar-2026,4,0
284460,Mar-2026,4,0
654297,Mar-2026,4,1
376447,Mar-2026,4,0
888807,Mar-2026,1,0
41853,Mar-2026,4,0
257719,Mar-2026,4,0
799952,Mar-2026,3,0
833557,Mar-2026,4,0
324809,Mar-2026,1,0
592784,Mar-2026,3,0
487065,Mar-2026,4,0
734789,Mar-2026,4,0
654623,Mar-2026,4,0
990993,Mar-2026,1,0
762527,Mar-2026,4,0
602241,Mar-2026,1,1
491521,Mar-2026,3,0
832348,Mar-2026,3,1
567671,Mar-2026,4,0
540618,Mar-2026,3,0
687218,Mar-2026,3,1
328457,Mar-2026,3,0
300159,Mar-2026,3,1
378676,Mar-2026,3,0
532965,Mar-2026,4,0
305754,Mar-2026,1,0
611575,Mar-2026,3,0
621677,Mar-2026,3,0
306177,Mar-2026,4,0
901144,Mar-2026,3,0
53833,Mar-2026,4,0
490602,Mar-2026,4,0
287070,Mar-2026,1,0
317242,Mar-2026,3,0
461804,Mar-2026,3,0
820541,Mar-2026,3,0
91670,Mar-2026,3,1
144124,Mar-2026,3,1
677542,Mar-2026,1,0
604184,Mar-2026,1,0
968887,Mar-2026,4,0
700048,Mar-2026,3,1
473647,Mar-2026,3,0
753354,Mar-2026,3,0
490939,Mar-2026,4,0
970529,Mar-2026,3,1
433521,Mar-2026,3,1
927651,Mar-2026,3,0
942001,Mar-2026,3,1
585299,Mar-2026,3,0
52729,Mar-2026,4,0
661577,Mar-2026,3,0
951463,Mar-2026,4,0
243235,Mar-2026,3,1
564692,Mar-2026,2,0
131748,Mar-2026,2,0
913428,Mar-2026,2,0
726958,Mar-2026,3,0
425341,Mar-2026,1,0
677169,Mar-2026,2,0
26060,Mar-2026,3,0
237083,Mar-2026,2,0
669378,Mar-2026,3,0
890623,Mar-2026,2,0
818990,Mar-2026,1,0
349294,Mar-2026,3,1
552883,Mar-2026,2,0
555121,Mar-2026,3,0
89084,Mar-2026,2,0
329351,Mar-2026,3,0
324809,Mar-2026,2,0
337168,Mar-2026,2,0
659290,Mar-2026,3,0
883013,Mar-2026,3,0
455083,Mar-2026,2,0
949818,Mar-2026,3,0
361361,Mar-2026,3,0
378230,Mar-2026,3,0
762527,Mar-2026,1,0
587420,Mar-2026,2,0
491521,Mar-2026,1,0
914071,Mar-2026,2,0
567671,Mar-2026,3,0
378287,Mar-2026,2,0
118820,Mar-2026,3,0
667163,Mar-2026,2,0
228286,Mar-2026,1,0
365132,Mar-2026,3,0
689769,Mar-2026,2,0
305754,Mar-2026,3,0
623234,Mar-2026,3,0
272170,Mar-2026,3,0
487931,Mar-2026,2,0
901144,Mar-2026,2,0
945635,Mar-2026,3,0
490602,Mar-2026,3,0
131136,Mar-2026,2,0
993331,Mar-2026,1,0
807452,Mar-2026,2,0
36412,Mar-2026,2,0
94225,Mar-2026,2,0
435929,Mar-2026,2,0
552496,Mar-2026,2,0
144124,Mar-2026,3,0
697683,Mar-2026,3,0
894539,Mar-2026,3,0
365133,Mar-2026,2,0
767398,Mar-2026,3,0
473647,Mar-2026,1,0
647462,Mar-2026,3,0
803607,Mar-2026,3,0
859361,Mar-2026,3,0
600767,Mar-2026,2,0
784827,Mar-2026,3,0
6405,Mar-2026,3,0
820973,Mar-2026,3,0
367391,Mar-2026,3,0
930284,Mar-2026,3,0
82484,Mar-2026,3,0
707935,Mar-2026,3,0
52729,Mar-2026,3,0
256783,Mar-2026,3,0
537274,Mar-2026,1,0
757274,Mar-2026,3,0
613942,Mar-2026,1,0
723678,Mar-2026,1,0
677169,Mar-2026,3,0
706112,Mar-2026,3,0
557908,Mar-2026,2,0
837480,Mar-2026,2,0
566052,Mar-2026,2,0
137909,Mar-2026,2,0
264803,Mar-2026,3,0
851978,Mar-2026,3,0
123983,Mar-2026,3,0
679284,Mar-2026,3,0
240179,Mar-2026,3,0
673058,Mar-2026,3,0
516376,Mar-2026,1,0
478531,Mar-2026,3,0
812607,Mar-2026,2,0
871592,Mar-2026,2,0
70969,Mar-2026,3,0
397973,Mar-2026,3,0
462526,Mar-2026,2,0
217710,Mar-2026,2,0
89084,Mar-2026,3,0
888807,Mar-2026,2,0
891833,Mar-2026,1,0
500739,Mar-2026,2,0
798639,Mar-2026,3,0
592784,Mar-2026,2,0
734789,Mar-2026,2,0
949818,Mar-2026,1,0
690565,Mar-2026,1,0
378230,Mar-2026,2,0
658389,Mar-2026,3,0
481843,Mar-2026,3,0
118820,Mar-2026,2,0
712003,Mar-2026,3,0
969851,Mar-2026,2,0
954722,Mar-2026,3,0
925482,Mar-2026,3,0
306177,Mar-2026,1,0
53833,Mar-2026,3,0
903336,Mar-2026,1,0
131136,Mar-2026,3,0
461804,Mar-2026,2,0
704868,Mar-2026,2,0
18035,Mar-2026,2,0
336847,Mar-2026,3,0
144124,Mar-2026,2,0
677542,Mar-2026,3,0
604184,Mar-2026,3,0
697683,Mar-2026,1,0
739534,Mar-2026,2,0
365133,Mar-2026,3,0
133542,Mar-2026,1,0
9436,Mar-2026,3,0
112390,Mar-2026,3,0
34200,Mar-2026,3,0
684939,Mar-2026,2,0
219598,Mar-2026,2,0
140154,Mar-2026,3,0
449106,Mar-2026,3,0
615545,Mar-2026,3,0
853932,Mar-2026,3,0
51036,Mar-2026,2,0
953175,Mar-2026,3,0
564692,Mar-2026,3,0
537274,Mar-2026,3,0
525531,Mar-2026,2,0
913428,Mar-2026,3,0
757274,Mar-2026,1,0
677169,Mar-2026,1,0
56589,Mar-2026,2,0
33797,Mar-2026,2,0
123983,Mar-2026,2,0
237083,Mar-2026,1,0
444361,Mar-2026,2,0
679284,Mar-2026,2,0
240179,Mar-2026,1,0
114414,Mar-2026,1,0
153019,Mar-2026,1,0
11422,Mar-2026,4,0
848226,Mar-2026,4,0
222892,Mar-2026,4,0
516376,Mar-2026,4,0
39154,Mar-2026,1,0
812607,Mar-2026,1,0
14145,Mar-2026,1,0
70969,Mar-2026,4,0
89084,Mar-2026,1,0
136533,Mar-2026,1,0
257719,Mar-2026,1,0
500633,Mar-2026,4,0
337168,Mar-2026,4,0
578097,Mar-2026,1,0
487065,Mar-2026,1,0
291238,Mar-2026,4,0
654623,Mar-2026,1,0
313754,Mar-2026,4,0
658389,Mar-2026,4,0
378287,Mar-2026,4,0
712003,Mar-2026,4,0
513199,Mar-2026,1,0
962054,Mar-2026,1,0
378676,Mar-2026,1,0
365132,Mar-2026,1,0
491314,Mar-2026,4,0
954722,Mar-2026,4,0
652118,Mar-2026,1,0
876139,Mar-2026,1,0
120532,Mar-2026,1,0
760684,Mar-2026,1,0
490602,Mar-2026,1,0
644847,Mar-2026,4,0
327290,Mar-2026,1,0
455755,Mar-2026,1,0
448752,Mar-2026,1,0
863930,Mar-2026,1,0
9436,Mar-2026,1,0
803607,Mar-2026,4,0
684939,Mar-2026,1,0
140154,Mar-2026,1,0
120385,Mar-2026,1,0
661577,Mar-2026,4,0
243235,Mar-2026,1,0
186168,Mar-2026,4,0
537274,Mar-2026,4,0
760828,Mar-2026,1,0
451812,Mar-2026,1,0
274207,Mar-2026,4,0
706112,Mar-2026,1,0
851978,Mar-2026,4,0
992178,Mar-2026,1,0
679284,Mar-2026,1,0
284460,Mar-2026,1,0
77308,Mar-2026,1,0
555121,Mar-2026,1,0
818522,Mar-2026,4,0
146840,Mar-2026,1,0
839170,Mar-2026,1,0
734789,Mar-2026,1,0
291238,Mar-2026,1,0
602241,Mar-2026,4,0
681063,Mar-2026,1,0
689769,Mar-2026,1,0
305754,Mar-2026,4,0
33955,Mar-2026,1,0
606256,Mar-2026,1,0
611575,Mar-2026,4,0
53833,Mar-2026,1,0
903336,Mar-2026,4,0
945635,Mar-2026,1,0
937542,Mar-2026,1,0
451933,Mar-2026,4,0
94225,Mar-2026,1,0
435929,Mar-2026,4,0
820541,Mar-2026,4,0
747801,Mar-2026,1,0
365133,Mar-2026,1,0
753354,Mar-2026,1,0
140489,Mar-2026,1,0
256051,Mar-2026,2,0
784827,Mar-2026,2,0
970529,Mar-2026,2,0
440875,Mar-2026,1,0
942001,Mar-2026,1,0
256783,Mar-2026,1,0
186168,Mar-2026,1,0
525531,Mar-2026,1,0
771228,Mar-2026,1,0
760828,Mar-2026,2,0
56589,Mar-2026,1,0
222892,Mar-2026,1,0
349294,Mar-2026,1,0
847349,Mar-2026,1,0
67197,Mar-2026,1,0
880510,Mar-2026,1,0
741341,Mar-2026,2,0
798639,Mar-2026,2,0
990993,Mar-2026,2,0
952168,Mar-2026,2,0
542300,Mar-2026,1,0
567671,Mar-2026,1,0
60619,Mar-2026,1,0
962591,Mar-2026,1,0
194682,Mar-2026,1,0
300159,Mar-2026,1,0
561860,Mar-2026,2,0
890232,Mar-2026,2,0
623234,Mar-2026,2,0
131937,Mar-2026,2,0
272170,Mar-2026,2,0
461804,Mar-2026,1,0
36412,Mar-2026,1,0
336847,Mar-2026,1,0
589812,Mar-2026,1,0
968887,Mar-2026,1,0
739448,Mar-2026,1,0
700048,Mar-2026,1,0
672059,Mar-2026,1,0
140154,Mar-2026,2,0
615545,Mar-2026,1,0
367391,Mar-2026,1,0
433521,Mar-2026,1,0
432617,Mar-2026,1,0
57405,Mar-2026,1,0
52729,Mar-2026,1,0
131748,Mar-2026,1,0
913428,Mar-2026,1,0
642612,Mar-2026,1,0
784673,Mar-2026,1,0
587645,Mar-2026,1,0
837480,Mar-2026,1,0
137909,Mar-2026,1,0
154179,Mar-2026,1,0
478531,Mar-2026,1,0
14145,Mar-2026,2,0
871592,Mar-2026,1,0
818522,Mar-2026,2,0
15314,Mar-2026,2,0
880510,Mar-2026,2,0
329351,Mar-2026,2,0
337168,Mar-2026,1,0
961614,Mar-2026,1,0
654623,Mar-2026,2,0
658389,Mar-2026,1,0
991434,Mar-2026,1,0
687218,Mar-2026,1,0
194682,Mar-2026,2,0
679321,Mar-2026,2,0
561860,Mar-2026,1,0
712307,Mar-2026,2,0
890232,Mar-2026,1,0
398340,Mar-2026,1,0
131136,Mar-2026,1,0
993331,Mar-2026,2,0
451933,Mar-2026,1,0
704868,Mar-2026,1,0
144124,Mar-2026,1,0
747801,Mar-2026,2,0
709916,Mar-2026,1,0
700048,Mar-2026,2,0
767398,Mar-2026,2,0
490939,Mar-2026,1,0
124290,Mar-2026,2,0
492958,Mar-2026,2,0
853932,Mar-2026,1,0
120385,Mar-2026,2,0
373536,Mar-2026,1,0
642612,Mar-2026,2,0
451812,Mar-2026,2,0
264803,Mar-2026,2,0
123983,Mar-2026,1,0
298985,Mar-2026,1,0
890623,Mar-2026,1,0
196719,Mar-2026,1,0
473929,Mar-2026,2,0
952124,Mar-2026,2,0
382511,Mar-2026,2,0
798639,Mar-2026,1,0
883013,Mar-2026,1,0
183929,Mar-2026,1,0
690565,Mar-2026,2,0
563740,Mar-2026,1,0
542300,Mar-2026,2,0
679321,Mar-2026,1,0
712003,Mar-2026,2,0
491314,Mar-2026,1,0
470449,Mar-2026,2,0
131937,Mar-2026,1,0
187399,Mar-2026,1,0
692985,Mar-2026,1,0
760684,Mar-2026,2,0
354409,Mar-2026,2,0
552496,Mar-2026,1,0
385113,Mar-2026,2,0
672059,Mar-2026,2,0
799688,Mar-2026,1,0
219598,Mar-2026,1,0
449106,Mar-2026,2,0
927651,Mar-2026,1,0
930284,Mar-2026,1,0
425341,Mar-2026,2,0
566052,Mar-2026,1,0
992178,Mar-2026,2,0
240179,Mar-2026,2,0
673058,Mar-2026,1,0
11422,Mar-2026,1,0
349294,Mar-2026,2,0
397973,Mar-2026,2,0
15314,Mar-2026,1,0
833557,Mar-2026,2,0
883013,Mar-2026,2,0
361361,Mar-2026,2,0
313754,Mar-2026,1,0
658389,Mar-2026,2,0
491521,Mar-2026,2,0
914071,Mar-2026,1,0
532965,Mar-2026,1,0
606256,Mar-2026,2,0
652118,Mar-2026,2,0
925482,Mar-2026,1,0
764014,Mar-2026,1,0
937542,Mar-2026,2,0
435929,Mar-2026,1,0
448752,Mar-2026,2,0
492958,Mar-2026,1,0
951463,Mar-2026,1,0
799459,Mar-2026,1,0
669378,Mar-2026,1,0
196719,Mar-2026,2,0
462526,Mar-2026,1,0
714999,Mar-2026,2,0
41853,Mar-2026,1,0
949818,Mar-2026,2,0
291238,Mar-2026,2,0
832348,Mar-2026,2,0
378287,Mar-2026,1,0
712003,Mar-2026,1,0
712307,Mar-2026,1,0
969851,Mar-2026,1,0
623234,Mar-2026,1,0
679865,Mar-2026,1,0
807452,Mar-2026,1,0
18035,Mar-2026,1,0
615545,Mar-2026,2,0
6405,Mar-2026,2,0
757274,Mar-2026,2,0
274207,Mar-2026,1,0
706112,Mar-2026,2,0
851978,Mar-2026,1,0
33797,Mar-2026,1,0
965755,Mar-2026,2,0
516376,Mar-2026,2,0
714999,Mar-2026,1,0
382511,Mar-2026,1,0
500633,Mar-2026,1,0
799952,Mar-2026,1,0
833557,Mar-2026,1,0
361361,Mar-2026,1,0
481843,Mar-2026,1,0
991434,Mar-2026,2,0
540618,Mar-2026,2,0
60619,Mar-2026,2,0
107548,Mar-2026,1,0
687218,Mar-2026,2,0
228286,Mar-2026,2,0
721521,Mar-2026,1,0
354409,Mar-2026,1,0
897083,Mar-2026,2,0
133542,Mar-2026,2,0
34200,Mar-2026,1,0
4452,Mar-2026,1,0
613942,Mar-2026,2,0
557908,Mar-2026,1,0
500739,Mar-2026,1,0
659290,Mar-2026,1,0
602241,Mar-2026,1,0
300159,Mar-2026,2,0
945635,Mar-2026,2,0
644847,Mar-2026,1,0
473647,Mar-2026,2,0
82484,Mar-2026,1,0
264803,Mar-2026,1,0
154179,Mar-2026,2,0
654297,Mar-2026,2,0
70969,Mar-2026,1,0
552883,Mar-2026,1,0
136533,Mar-2026,2,0
319388,Mar-2026,1,0
667163,Mar-2026,1,0
513199,Mar-2026,2,0
9436,Mar-2026,2,0
385113,Mar-2026,1,0
799688,Mar-2026,2,0
820973,Mar-2026,1,0
70969,Mar-2026,2,0
455083,Mar-2026,1,0
592784,Mar-2026,1,0
952168,Mar-2026,1,0
481843,Mar-2026,2,0
171602,Mar-2026,2,0
328457,Mar-2026,2,0
954722,Mar-2026,1,0
925482,Mar-2026,2,0
611575,Mar-2026,2,0
901144,Mar-2026,1,0
317242,Mar-2026,2,0
327290,Mar-2026,2,0
91670,Mar-2026,1,0
739534,Mar-2026,1,0
112390,Mar-2026,2,0
859361,Mar-2026,2,0
953175,Mar-2026,1,0
784673,Mar-2026,2,0
26060,Mar-2026,2,0
34186,Mar-2026,1,0
397973,Mar-2026,1,0
146840,Mar-2026,2,0
328457,Mar-2026,1,0
621677,Mar-2026,2,0
306177,Mar-2026,2,0
34200,Mar-2026,2,0
256051,Mar-2026,1,0
367391,Mar-2026,2,0
433521,Mar-2026,2,0
661577,Mar-2026,2,0
564692,Mar-2026,1,0
723678,Mar-2026,2,0
587645,Mar-2026,2,0
851978,Mar-2026,2,0
673058,Mar-2026,2,0
11422,Apr-2026,1,0
890623,Apr-2026,2,0
818990,Apr-2026,1,0
552883,Apr-2026,1,0
952124,Apr-2026,2,0
555121,Apr-2026,1,0
376447,Apr-2026,2,0
217710,Apr-2026,1,0
136533,Apr-2026,1,0
67197,Apr-2026,1,0
329351,Apr-2026,2,0
324809,Apr-2026,1,0
659290,Apr-2026,1,0
839170,Apr-2026,1,0
455083,Apr-2026,1,0
487065,Apr-2026,2,0
990993,Apr-2026,1,0
914071,Apr-2026,2,0
481843,Apr-2026,1,0
667163,Apr-2026,1,0
365132,Apr-2026,1,0
689769,Apr-2026,2,0
33955,Apr-2026,1,0
470449,Apr-2026,2,0
954722,Apr-2026,1,0
623234,Apr-2026,1,0
606256,Apr-2026,2,0
652118,Apr-2026,2,0
621677,Apr-2026,1,0
306177,Apr-2026,1,0
692985,Apr-2026,1,0
354409,Apr-2026,1,0
937542,Apr-2026,1,0
287070,Apr-2026,1,0
679865,Apr-2026,1,0
644847,Apr-2026,2,0
36412,Apr-2026,2,0
704868,Apr-2026,2,0
435929,Apr-2026,1,0
336847,Apr-2026,2,0
144124,Apr-2026,1,0
589812,Apr-2026,1,0
604184,Apr-2026,1,0
697683,Apr-2026,1,0
112390,Apr-2026,1,0
672059,Apr-2026,2,0
