order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed,reason_if_delay,distance_bucket
1961864118,63230,17/07/2024 08:52:01,17/07/2024 08:47:01,-5,0.96,On Time,,Ontime,0-2 km
1549769649,14983,28/05/2024 13:25:29,28/05/2024 13:27:29,2,0.98,On Time,Traffic,Traffic,0-2 km
9185164487,39859,23/09/2024 13:25:12,23/09/2024 13:29:12,4,3.83,On Time,Traffic,Traffic,2-5 km
9644738826,61497,24/11/2023 16:34:56,24/11/2023 16:33:56,-1,2.76,On Time,,Ontime,2-5 km
5427684290,84315,20/11/2023 05:17:39,20/11/2023 05:18:39,1,2.63,On Time,Traffic,Traffic,2-5 km
3265154092,554,18/03/2023 16:49:51,18/03/2023 16:48:51,-1,1.94,On Time,,Ontime,0-2 km
4898355547,14630,16/04/2023 19:01:37,16/04/2023 19:02:37,1,2.2,On Time,Traffic,Traffic,2-5 km
6568151549,67714,31/03/2024 06:37:48,31/03/2024 06:39:48,2,1.3,On Time,Traffic,Traffic,0-2 km
6006693867,91362,14/07/2023 00:02:36,14/07/2023 00:05:36,3,3.38,On Time,Traffic,Traffic,2-5 km
374186990,77203,09/08/2023 01:37:30,09/08/2023 01:44:30,7,1.47,Slightly Delayed,Traffic,Traffic,0-2 km
4455336265,64046,30/08/2023 19:47:06,30/08/2023 19:45:06,-2,0.76,On Time,,Ontime,0-2 km
3539286337,94899,25/04/2023 20:44:24,25/04/2023 20:39:24,-5,3.68,On Time,,Ontime,2-5 km
9171116867,73907,22/10/2023 11:25:33,22/10/2023 11:37:33,12,2.23,Slightly Delayed,Traffic,Traffic,2-5 km
5504941865,56077,28/01/2024 02:55:11,28/01/2024 03:06:11,11,4.45,Slightly Delayed,Traffic,Traffic,2-5 km
5868326481,94140,15/03/2024 21:24:07,15/03/2024 21:21:07,-3,2.8,On Time,,Ontime,2-5 km
2137046916,12377,03/02/2024 09:03:32,03/02/2024 09:01:32,-2,1.78,On Time,,Ontime,0-2 km
8195544338,102,26/04/2023 04:20:57,26/04/2023 04:28:57,8,1.16,Slightly Delayed,Traffic,Traffic,0-2 km
2889700050,45032,30/04/2024 16:33:26,30/04/2024 16:36:26,3,3.07,On Time,Traffic,Traffic,2-5 km
65827885,1108,27/07/2023 00:25:05,27/07/2023 00:20:05,-5,1.65,On Time,,Ontime,0-2 km
4656471694,62782,09/12/2023 08:27:08,09/12/2023 08:35:08,8,3.7,Slightly Delayed,Traffic,Traffic,2-5 km
6625178717,74906,01/07/2023 04:40:22,01/07/2023 04:53:22,13,4.22,Slightly Delayed,Traffic,Traffic,2-5 km
7169557514,79516,21/03/2023 05:38:13,21/03/2023 05:50:13,12,3.28,Slightly Delayed,Traffic,Traffic,2-5 km
2268306684,65733,28/05/2024 15:11:08,28/05/2024 15:10:08,-1,1.82,On Time,,Ontime,0-2 km
6905293278,53868,16/06/2024 10:36:23,16/06/2024 11:02:23,26,0.58,Significantly Delayed,Traffic,Traffic,0-2 km
1769493463,22954,26/06/2024 07:29:47,26/06/2024 07:24:47,-5,1.21,On Time,,Ontime,0-2 km
5003387344,21004,23/06/2024 11:05:47,23/06/2024 11:00:47,-5,4.52,On Time,,Ontime,2-5 km
2064484752,43022,07/05/2024 23:00:49,07/05/2024 22:55:49,-5,2.29,On Time,,Ontime,2-5 km
964822979,42914,13/07/2024 10:49:00,13/07/2024 10:47:00,-2,1.09,On Time,,Ontime,0-2 km
6037899648,59131,27/03/2024 18:00:43,27/03/2024 18:04:43,4,4.56,On Time,Traffic,Traffic,2-5 km
9347571484,88612,02/11/2024 17:26:15,02/11/2024 17:39:15,13,3.29,Slightly Delayed,Traffic,Traffic,2-5 km
3286177534,90038,25/06/2023 00:09:15,25/06/2023 00:07:15,-2,3.07,On Time,,Ontime,2-5 km
9073572548,28575,02/05/2023 23:25:42,02/05/2023 23:47:42,22,4.77,Significantly Delayed,Traffic,Traffic,2-5 km
8395583761,84816,04/08/2024 23:53:44,04/08/2024 23:48:44,-5,3.53,On Time,,Ontime,2-5 km
6355378227,23910,11/08/2023 17:06:36,11/08/2023 17:05:36,-1,3.91,On Time,,Ontime,2-5 km
277376321,78589,28/07/2024 04:45:12,28/07/2024 04:44:12,-1,3.85,On Time,,Ontime,2-5 km
8559748526,93002,05/04/2023 18:27:19,05/04/2023 18:28:19,1,0.94,On Time,Traffic,Traffic,0-2 km
1458051433,61040,26/04/2024 09:30:56,26/04/2024 09:26:56,-4,2.75,On Time,,Ontime,2-5 km
5838302640,30907,12/05/2023 06:02:25,12/05/2023 06:09:25,7,1.7,Slightly Delayed,Traffic,Traffic,0-2 km
1380971977,52614,02/06/2024 13:21:55,02/06/2024 13:16:55,-5,4.09,On Time,,Ontime,2-5 km
1221099013,60689,23/07/2023 11:01:59,23/07/2023 11:03:59,2,3.15,On Time,Traffic,Traffic,2-5 km
6771166303,98179,24/07/2023 04:36:07,24/07/2023 04:48:07,12,2.55,Slightly Delayed,Traffic,Traffic,2-5 km
7111337755,84833,06/05/2023 06:07:44,06/05/2023 06:04:44,-3,3.44,On Time,,Ontime,2-5 km
5562922993,73904,06/12/2023 02:14:19,06/12/2023 02:17:19,3,1.64,On Time,Traffic,Traffic,0-2 km
5630957897,14408,18/06/2024 07:32:42,18/06/2024 07:36:42,4,3.92,On Time,Traffic,Traffic,2-5 km
1787380558,95835,08/11/2023 17:43:58,08/11/2023 17:45:58,2,2.8,On Time,Traffic,Traffic,2-5 km
32613017,77303,17/03/2023 00:36:41,17/03/2023 00:36:41,0,4,On Time,,Ontime,2-5 km
2039041670,31963,01/11/2024 10:05:47,01/11/2024 10:20:47,15,2.12,Slightly Delayed,Traffic,Traffic,2-5 km
210693801,14789,21/08/2024 04:10:25,21/08/2024 04:12:25,2,2.5,On Time,Traffic,Traffic,2-5 km
8120002258,61526,01/01/2024 00:15:08,01/01/2024 00:11:08,-4,2.43,On Time,,Ontime,2-5 km
2177917034,75636,08/02/2024 20:16:51,08/02/2024 20:25:51,9,0.73,Slightly Delayed,Traffic,Traffic,0-2 km
4254814926,1761,21/04/2024 06:34:58,21/04/2024 06:33:58,-1,1.74,On Time,,Ontime,0-2 km
6074172790,3481,26/07/2023 02:26:37,26/07/2023 02:30:37,4,2.48,On Time,Traffic,Traffic,2-5 km
3381573131,50582,16/07/2024 00:47:21,16/07/2024 00:42:21,-5,4.91,On Time,,Ontime,2-5 km
3773745777,97135,02/05/2024 14:58:25,02/05/2024 14:58:25,0,3.31,On Time,,Ontime,2-5 km
9251939156,57095,30/12/2023 12:51:53,30/12/2023 12:58:53,7,2.35,Slightly Delayed,Traffic,Traffic,2-5 km
3872982303,60234,03/02/2024 01:24:33,03/02/2024 01:25:33,1,2.6,On Time,Traffic,Traffic,2-5 km
2625987757,51273,01/08/2023 07:54:43,01/08/2023 07:56:43,2,4.7,On Time,Traffic,Traffic,2-5 km
3162249401,47552,03/05/2024 13:31:58,03/05/2024 13:31:58,0,1.72,On Time,,Ontime,0-2 km
3108986741,60867,17/10/2023 19:43:19,17/10/2023 19:44:19,1,2.09,On Time,Traffic,Traffic,2-5 km
1851474741,12879,01/11/2023 13:42:17,01/11/2023 13:51:17,9,4.09,Slightly Delayed,Traffic,Traffic,2-5 km
2425099132,44245,15/08/2023 01:30:08,15/08/2023 01:34:08,4,1.07,On Time,Traffic,Traffic,0-2 km
6706793332,76503,09/10/2024 22:04:33,09/10/2024 22:16:33,12,2.99,Slightly Delayed,Traffic,Traffic,2-5 km
2149289255,25251,01/11/2024 15:20:29,01/11/2024 15:39:29,19,2.56,Significantly Delayed,Traffic,Traffic,2-5 km
1971008155,30330,23/10/2023 22:43:41,23/10/2023 22:39:41,-4,0.86,On Time,,Ontime,0-2 km
2087093460,27478,11/07/2024 11:42:57,11/07/2024 11:41:57,-1,0.77,On Time,,Ontime,0-2 km
