order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,Delivery_logic,actual_delivery_status
1961864118,30065862,17/07/2024 08:34:01,17/07/2024 08:52:01,17/07/2024 08:47:01,On Time,"£3,197.07",Cash,63230,4771,Valid,Good to go
1549769649,9573071,28/05/2024 13:14:29,28/05/2024 13:25:29,28/05/2024 13:27:29,On Time,£976.55,Cash,14983,7534,Not Valid,Flag
9185164487,45477575,23/09/2024 13:07:12,23/09/2024 13:25:12,23/09/2024 13:29:12,On Time,£839.05,UPI,39859,9886,Not Valid,Flag
9644738826,88067569,24/11/2023 16:16:56,24/11/2023 16:34:56,24/11/2023 16:33:56,On Time,£440.23,Card,61497,7917,Valid,Good to go
5427684290,83298567,20/11/2023 05:00:39,20/11/2023 05:17:39,20/11/2023 05:18:39,On Time,"£2,526.68",Cash,84315,2741,Not Valid,Flag
3265154092,43367112,18/03/2023 16:29:51,18/03/2023 16:49:51,18/03/2023 16:48:51,On Time,"£3,161.43",UPI,554,3442,Valid,Good to go
4898355547,13284996,16/04/2023 18:50:37,16/04/2023 19:01:37,16/04/2023 19:02:37,On Time,£956.40,Card,14630,1318,Not Valid,Flag
6568151549,88866835,31/03/2024 06:26:48,31/03/2024 06:37:48,31/03/2024 06:39:48,On Time,£905.47,Cash,67714,115,Not Valid,Flag
6006693867,24496983,13/07/2023 23:49:36,14/07/2023 00:02:36,14/07/2023 00:05:36,On Time,"£1,371.17",Card,91362,9021,Not Valid,Flag
374186990,52215833,09/08/2023 01:17:30,09/08/2023 01:37:30,09/08/2023 01:44:30,Slightly Delayed,"£1,601.19",Wallet,77203,7955,Not Valid,Good to go
4455336265,43431724,30/08/2023 19:37:06,30/08/2023 19:47:06,30/08/2023 19:45:06,On Time,"£2,362.33",UPI,64046,3784,Valid,Good to go
3539286337,77559557,25/04/2023 20:32:24,25/04/2023 20:44:24,25/04/2023 20:39:24,On Time,"£1,463.80",Wallet,94899,2463,Valid,Good to go
9171116867,87107263,22/10/2023 11:15:33,22/10/2023 11:25:33,22/10/2023 11:37:33,Slightly Delayed,£822.63,Card,73907,6899,Not Valid,Good to go
5504941865,76512976,28/01/2024 02:39:11,28/01/2024 02:55:11,28/01/2024 03:06:11,Slightly Delayed,"£2,287.68",Wallet,56077,9809,Not Valid,Good to go
5868326481,37556526,15/03/2024 21:07:07,15/03/2024 21:24:07,15/03/2024 21:21:07,On Time,"£1,962.35",Wallet,94140,3106,Valid,Good to go
2137046916,12059049,03/02/2024 08:50:32,03/02/2024 09:03:32,03/02/2024 09:01:32,On Time,"£3,373.96",UPI,12377,1007,Valid,Good to go
8195544338,26199489,26/04/2023 04:03:57,26/04/2023 04:20:57,26/04/2023 04:28:57,Slightly Delayed,£845.71,Wallet,102,3809,Not Valid,Good to go
2889700050,84848018,30/04/2024 16:22:26,30/04/2024 16:33:26,30/04/2024 16:36:26,On Time,"£2,706.54",Wallet,45032,78,Not Valid,Flag
65827885,47577193,27/07/2023 00:13:05,27/07/2023 00:25:05,27/07/2023 00:20:05,On Time,"£1,132.98",Cash,1108,3817,Valid,Good to go
4656471694,60728956,09/12/2023 08:08:08,09/12/2023 08:27:08,09/12/2023 08:35:08,Slightly Delayed,"£1,525.50",Cash,62782,5739,Not Valid,Good to go
6625178717,62068277,01/07/2023 04:24:22,01/07/2023 04:40:22,01/07/2023 04:53:22,Slightly Delayed,"£5,718.09",Card,74906,2130,Not Valid,Good to go
7169557514,84824280,21/03/2023 05:27:13,21/03/2023 05:38:13,21/03/2023 05:50:13,Slightly Delayed,"£2,970.90",Card,79516,9535,Not Valid,Good to go
2268306684,66742602,28/05/2024 14:59:08,28/05/2024 15:11:08,28/05/2024 15:10:08,On Time,"£2,991.57",Wallet,65733,6847,Valid,Good to go
6905293278,97259564,16/06/2024 10:23:23,16/06/2024 10:36:23,16/06/2024 11:02:23,Significantly Delayed,"£1,404.68",Cash,53868,4187,Not Valid,Good to go
1769493463,3292927,26/06/2024 07:13:47,26/06/2024 07:29:47,26/06/2024 07:24:47,On Time,"£2,541.32",Wallet,22954,7071,Valid,Good to go
5003387344,26592009,23/06/2024 10:53:47,23/06/2024 11:05:47,23/06/2024 11:00:47,On Time,"£2,475.69",Wallet,21004,7477,Valid,Good to go
2064484752,89995124,07/05/2024 22:42:49,07/05/2024 23:00:49,07/05/2024 22:55:49,On Time,"£1,949.92",Wallet,43022,1116,Valid,Good to go
964822979,88520326,13/07/2024 10:38:00,13/07/2024 10:49:00,13/07/2024 10:47:00,On Time,"£5,804.23",Wallet,42914,7603,Valid,Good to go
6037899648,22738465,27/03/2024 17:44:43,27/03/2024 18:00:43,27/03/2024 18:04:43,On Time,"£1,231.03",Cash,59131,914,Not Valid,Flag
9347571484,29562072,02/11/2024 17:15:15,02/11/2024 17:26:15,02/11/2024 17:39:15,Slightly Delayed,"£3,138.06",Card,88612,9615,Not Valid,Good to go
3286177534,10225164,24/06/2023 23:52:15,25/06/2023 00:09:15,25/06/2023 00:07:15,On Time,"£3,612.26",Wallet,90038,6046,Valid,Good to go
9073572548,97111069,02/05/2023 23:13:42,02/05/2023 23:25:42,02/05/2023 23:47:42,Significantly Delayed,"£1,091.89",Card,28575,6542,Not Valid,Good to go
8395583761,1989720,04/08/2024 23:35:44,04/08/2024 23:53:44,04/08/2024 23:48:44,On Time,£410.62,UPI,84816,5448,Valid,Good to go
6355378227,67092149,11/08/2023 16:52:36,11/08/2023 17:06:36,11/08/2023 17:05:36,On Time,"£5,019.02",UPI,23910,810,Valid,Good to go
277376321,89784343,28/07/2024 04:25:12,28/07/2024 04:45:12,28/07/2024 04:44:12,On Time,"£3,694.48",Wallet,78589,3357,Valid,Good to go
8559748526,45868300,05/04/2023 18:07:19,05/04/2023 18:27:19,05/04/2023 18:28:19,On Time,"£1,152.09",Wallet,93002,2270,Not Valid,Flag
1458051433,50760752,26/04/2024 09:14:56,26/04/2024 09:30:56,26/04/2024 09:26:56,On Time,"£1,055.18",UPI,61040,7426,Valid,Good to go
